age,age_cat,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,label
69,Greater than 45,Male,Other,0,1,F,0,0,0,0,0
34,25 - 45,Male,African-American,0,1,F,1,1,1,10,0
24,Less than 25,Male,African-American,4,1,F,1,0,1,1,0
23,Less than 25,Male,African-American,1,1,F,0,0,0,0,1
43,25 - 45,Male,Other,2,1,F,0,0,0,0,0
44,25 - 45,Male,Other,0,0,M,0,0,0,1,0
41,25 - 45,Male,Caucasian,14,1,F,1,0,1,6,0
43,25 - 45,Male,Other,3,1,F,0,0,0,0,0
39,25 - 45,Female,Caucasian,0,1,M,0,0,0,2,0
21,Less than 25,Male,Caucasian,1,428,F,1,1,1,0,0
27,25 - 45,Male,Caucasian,0,1,F,0,0,0,1,0
23,Less than 25,Male,African-American,3,0,M,1,0,1,4,0
37,25 - 45,Female,Caucasian,0,0,M,0,0,0,0,0
41,25 - 45,Male,African-American,0,1,F,0,0,0,0,0
47,Greater than 45,Female,Caucasian,1,20,F,1,0,1,14,0
31,25 - 45,Male,African-American,7,22,F,1,0,1,3,0
37,25 - 45,Male,Hispanic,0,0,M,0,0,0,0,0
25,25 - 45,Male,African-American,3,1,F,0,0,0,1,1
31,25 - 45,Male,Caucasian,6,1,F,1,1,1,1,0
31,25 - 45,Male,Caucasian,5,1,F,1,0,1,1,0
64,Greater than 45,Male,African-American,13,1,F,1,0,1,1,0
21,Less than 25,Male,African-American,1,1,F,1,0,1,3,1
27,25 - 45,Male,Caucasian,0,0,M,1,0,1,0,0
21,Less than 25,Female,Caucasian,0,2,F,0,0,0,1,0
24,Less than 25,Male,Hispanic,1,0,F,1,0,1,0,0
43,25 - 45,Male,Caucasian,1,1,M,0,0,0,1,0
32,25 - 45,Male,Other,0,1,M,0,0,0,1,0
27,25 - 45,Male,African-American,8,1,F,1,1,1,17,0
36,25 - 45,Female,Caucasian,3,53,F,0,0,0,0,0
26,25 - 45,Male,African-American,5,1,F,1,0,1,0,1
33,25 - 45,Male,African-American,0,0,F,1,1,1,37,1
30,25 - 45,Male,Caucasian,9,0,F,1,0,1,44,1
32,25 - 45,Male,African-American,4,1,F,1,0,1,1,1
55,Greater than 45,Male,Caucasian,0,1,F,0,0,0,2,0
49,Greater than 45,Male,Other,7,1,F,1,0,1,3,0
26,25 - 45,Male,Caucasian,6,81,M,0,0,0,12,1
33,25 - 45,Female,Caucasian,4,1,M,1,0,1,11,0
24,Less than 25,Male,Caucasian,1,0,M,1,0,1,1,0
34,25 - 45,Male,African-American,21,0,F,1,0,1,33,1
29,25 - 45,Male,Caucasian,0,0,M,0,0,0,1,0
21,Less than 25,Female,African-American,2,1,F,0,0,0,79,1
51,Greater than 45,Male,African-American,2,1,M,0,0,0,1,0
29,25 - 45,Male,Caucasian,2,1,M,1,0,1,0,0
51,Greater than 45,Female,African-American,7,1,F,0,0,0,1,0
29,25 - 45,Male,African-American,0,0,F,1,0,1,0,1
25,25 - 45,Male,Caucasian,9,1,M,1,1,1,6,1
35,25 - 45,Male,African-American,13,1,F,1,1,1,0,1
49,Greater than 45,Male,Caucasian,0,0,M,0,0,0,0,0
34,25 - 45,Male,African-American,4,59,M,1,0,1,51,0
29,25 - 45,Male,African-American,0,0,F,0,0,0,0,0
29,25 - 45,Male,Caucasian,1,24,F,1,0,1,0,0
28,25 - 45,Female,Other,0,1,F,0,0,0,0,0
48,Greater than 45,Male,Caucasian,20,302,F,1,0,1,10,0
63,Greater than 45,Female,Hispanic,1,219,F,0,0,0,8,0
31,25 - 45,Male,African-American,15,1,F,1,0,0,135,0
24,Less than 25,Male,African-American,2,1,F,1,0,1,1,0
30,25 - 45,Male,Hispanic,0,0,M,0,0,0,23,1
49,Greater than 45,Male,African-American,4,1,M,0,0,0,0,0
53,Greater than 45,Male,Caucasian,8,13,F,0,0,0,13,0
35,25 - 45,Male,African-American,5,1,F,0,0,0,0,0
63,Greater than 45,Male,African-American,10,38,M,1,0,1,35,1
27,25 - 45,Male,African-American,15,1,F,1,0,1,1,1
38,25 - 45,Male,Caucasian,4,1,M,1,0,1,1,0
22,Less than 25,Male,African-American,1,1,F,1,0,1,1,0
22,Less than 25,Male,African-American,2,70,F,1,0,1,124,1
29,25 - 45,Male,African-American,4,1,F,1,0,1,18,1
62,Greater than 45,Male,Hispanic,0,0,M,0,0,0,1,0
27,25 - 45,Male,African-American,6,0,F,1,0,1,30,0
33,25 - 45,Male,Other,0,1,M,0,0,0,1,0
56,Greater than 45,Female,African-American,0,0,M,0,0,0,3,0
45,Greater than 45,Male,Hispanic,6,1,F,1,1,1,241,0
22,Less than 25,Male,Hispanic,1,1,F,0,0,0,1,0
39,25 - 45,Male,African-American,1,1,M,0,0,0,4,0
29,25 - 45,Male,African-American,5,0,F,1,0,1,1,0
27,25 - 45,Male,Caucasian,1,1,F,1,0,1,14,0
40,25 - 45,Male,African-American,2,15,F,0,0,0,3,0
22,Less than 25,Male,African-American,1,0,M,1,0,1,16,0
